id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-126,Sports & Entertainment,15 biggest high school football stadiums in Texas,15 biggest high school football stadiums in Texas,seo_article,medium,evergreen,standard,biggest-high-school-football-stadiums-in-texas,/sports|/events|/guides,no
td-list-127,Sports & Entertainment,10 most intense college sports rivalries in Texas,10 most intense college sports rivalries in Texas,seo_article,medium,evergreen,standard,most-intense-college-sports-rivalries-in-texas,/sports|/events|/guides,no
td-list-128,Sports & Entertainment,12 legendary Texas athletes who made Olympic history,12 legendary Texas athletes who made Olympic history,seo_article,medium,evergreen,standard,legendary-texas-athletes-who-made-olympic-history,/sports|/events|/guides,no
td-list-129,Sports & Entertainment,15 things you’ll only experience at the State Fair of Texas,15 experiences that define the State Fair of Texas,social_list,medium,evergreen,standard,experiences-that-define-the-state-fair-of-texas,/sports|/events|/guides,no
td-list-130,Sports & Entertainment,10 best live music venues in Austin (The Live Music Capital),10 Austin live-music venues worth knowing,seo_article,medium,annual-review,standard,austin-live-music-venues-worth-knowing,/sports|/events|/guides,no
td-list-131,Sports & Entertainment,12 most iconic moments in Texas Rangers baseball history,12 most iconic moments in Texas Rangers baseball history,seo_article,medium,evergreen,standard,most-iconic-moments-in-texas-rangers-baseball-history,/sports|/events|/guides,no
td-list-132,Sports & Entertainment,15 famous movies that were filmed entirely in Texas,15 famous movies filmed in Texas,seo_article,medium,evergreen,standard,famous-movies-filmed-in-texas,/sports|/events|/guides,no
td-list-133,Sports & Entertainment,10 best golf courses open to the public in Texas,10 notable public golf courses in Texas,seo_article,medium,annual-review,verify-current,notable-public-golf-courses-in-texas,/sports|/events|/guides,no
td-list-134,Sports & Entertainment,12 most memorable Houston Astros moments,12 most memorable Houston Astros moments,seo_article,medium,evergreen,standard,most-memorable-houston-astros-moments,/sports|/events|/guides,no
td-list-135,Sports & Entertainment,15 country music festivals in Texas you can’t miss,15 Texas country-music festivals to know,seo_article,medium,annual-review,verify-current,texas-country-music-festivals-to-know,/sports|/events|/guides,no
td-list-136,Sports & Entertainment,10 legendary coaches who built Texas sports programs,10 legendary coaches who built Texas sports programs,seo_article,medium,evergreen,standard,legendary-coaches-who-built-texas-sports-programs,/sports|/events|/guides,no
td-list-137,Sports & Entertainment,12 things to know before attending the Houston Rodeo,12 things to know before attending the Houston Livestock Show and Rodeo,seo_article,medium,evergreen,standard,things-to-know-before-attending-the-houston-livestock-show-and-rodeo,/sports|/events|/guides,no
td-list-138,Sports & Entertainment,"15 best small-town festivals in Texas (Strawberry, Watermelon, etc.)",15 Texas small-town festivals worth a road trip,seo_article,medium,annual-review,verify-current,texas-small-town-festivals-worth-a-road-trip,/article/texas-farm-to-market-roads-explained|/sports|/events|/guides,no
td-list-139,Sports & Entertainment,10 iconic TV shows set in the Lone Star State,10 iconic TV shows set in the Lone Star State,seo_article,medium,evergreen,standard,iconic-tv-shows-set-in-the-lone-star-state,/sports|/events|/guides,no
td-list-140,Sports & Entertainment,12 legendary Dallas Cowboys players of all time,12 legendary Dallas Cowboys players and their eras,seo_article,medium,evergreen,standard,legendary-dallas-cowboys-players-and-their-eras,/sports|/events|/guides,no
td-list-141,Sports & Entertainment,15 best waterparks in Texas to cool off in,15 Texas water parks for a summer family day,seo_article,medium,seasonal,standard,texas-water-parks-for-a-summer-family-day,/sports|/events|/guides,no
td-list-142,Sports & Entertainment,10 famous Texas authors and their must-read books,10 famous Texas authors and books to start with,seo_article,medium,evergreen,standard,famous-texas-authors-and-books-to-start-with,/sports|/events|/guides,no
td-list-143,Sports & Entertainment,12 most influential Texas artists and painters,12 most influential Texas artists and painters,seo_article,medium,evergreen,standard,most-influential-texas-artists-and-painters,/sports|/events|/guides,no
td-list-144,Sports & Entertainment,15 unique museums in Texas dedicated to specific hobbies,15 unique museums in Texas dedicated to specific hobbies,seo_article,medium,evergreen,standard,unique-museums-in-texas-dedicated-to-specific-hobbies,/sports|/events|/guides,no
td-list-145,Sports & Entertainment,10 historic Texas theaters still hosting live shows,10 historic Texas theaters still hosting live shows,seo_article,medium,evergreen,standard,historic-texas-theaters-still-hosting-live-shows,/sports|/events|/guides,no
td-list-146,Sports & Entertainment,12 best places to see live theater in Texas,12 Texas destinations for live theater,seo_article,medium,evergreen,standard,texas-destinations-for-live-theater,/sports|/events|/guides,no
td-list-147,Sports & Entertainment,15 unforgettable moments in San Antonio Spurs history,15 unforgettable moments in San Antonio Spurs history,seo_article,medium,evergreen,standard,unforgettable-moments-in-san-antonio-spurs-history,/sports|/events|/guides,no
td-list-148,Sports & Entertainment,10 best places for a family fun day in Texas,10 Texas destinations for a family fun day,seo_article,medium,evergreen,standard,texas-destinations-for-a-family-fun-day,/sports|/events|/guides,no
td-list-149,Sports & Entertainment,12 famous songs written about specific Texas women,12 famous songs written about specific Texas women,seo_article,medium,evergreen,standard,famous-songs-written-about-specific-texas-women,/sports|/events|/guides,no
td-list-150,Sports & Entertainment,15 iconic sports broadcasters from Texas,15 iconic sports broadcasters from Texas,seo_article,medium,evergreen,standard,iconic-sports-broadcasters-from-texas,/article/texas-farm-to-market-roads-explained|/sports|/events|/guides,no
