id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-076,History & Legends,15 historical facts about the Alamo they didn't teach you in school,15 Alamo facts that add context beyond the classroom,seo_article,high,evergreen,standard,alamo-facts-that-add-context-beyond-the-classroom,/texas-history|/guides|/explore,no
td-list-077,History & Legends,10 famous Texas Rangers who shaped state history,10 famous Texas Rangers who shaped state history,seo_article,medium,evergreen,standard,famous-texas-rangers-who-shaped-state-history,/texas-history|/guides|/explore,no
td-list-078,History & Legends,12 legendary Texas outlaws and where they hid,12 legendary Texas outlaws and where they hid,seo_article,medium,evergreen,high-verification,legendary-texas-outlaws-and-where-they-hid,/texas-history|/guides|/explore,no
td-list-079,History & Legends,15 things you didn’t know about the Republic of Texas era,15 things you didn’t know about the Republic of Texas era,seo_article,high,evergreen,standard,things-you-didn-t-know-about-the-republic-of-texas-era,/texas-history|/guides|/explore,no
td-list-080,History & Legends,10 historic Texas hotels that are allegedly haunted,10 historic Texas hotels with famous ghost stories,seo_article,medium,evergreen,standard,historic-texas-hotels-with-famous-ghost-stories,/texas-history|/guides|/explore,no
td-list-081,History & Legends,12 famous battles fought on Texas soil,12 famous battles fought on Texas soil,seo_article,medium,evergreen,high-verification,famous-battles-fought-on-texas-soil,/article/texas-wildlife-guide|/texas-history|/guides|/explore,no
td-list-082,History & Legends,15 indigenous tribes who originally called Texas home,15 indigenous tribes who originally called Texas home,seo_article,medium,evergreen,high-verification,indigenous-tribes-who-originally-called-texas-home,/texas-history|/guides|/explore,no
td-list-083,History & Legends,10 urban legends from Texas that will keep you up at night,10 Texas urban legends and the stories behind them,social_list,low,evergreen,standard,texas-urban-legends-and-the-stories-behind-them,/texas-history|/guides|/explore,no
td-list-084,History & Legends,12 historic shipwrecks off the Texas Gulf Coast,12 historic shipwrecks off the Texas Gulf Coast,seo_article,medium,evergreen,standard,historic-shipwrecks-off-the-texas-gulf-coast,/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/texas-history|/guides|/explore,no
td-list-085,History & Legends,15 most influential Texas politicians in U.S. history,15 most influential Texas politicians in U.S. history,seo_article,medium,evergreen,high-verification,most-influential-texas-politicians-in-u-s-history,/texas-history|/guides|/explore,no
td-list-086,History & Legends,10 myths about Texas history that are totally busted,10 Texas history myths worth reexamining,seo_article,high,evergreen,standard,texas-history-myths-worth-reexamining,/texas-history|/guides|/explore,no
td-list-087,History & Legends,12 historic oil booms that changed Texas forever,12 historic oil booms that changed Texas forever,seo_article,medium,evergreen,standard,historic-oil-booms-that-changed-texas-forever,/texas-history|/guides|/explore,no
td-list-088,History & Legends,15 famous speeches delivered by Texans,15 famous speeches delivered by Texans,seo_article,medium,evergreen,standard,famous-speeches-delivered-by-texans,/texas-history|/guides|/explore,no
td-list-089,History & Legends,10 cattle barons who ruled the Texas plains,10 cattle barons who ruled the Texas plains,seo_article,medium,evergreen,standard,cattle-barons-who-ruled-the-texas-plains,/texas-history|/guides|/explore,no
td-list-090,History & Legends,12 historic missions in Texas besides the Alamo,12 historic missions in Texas besides the Alamo,seo_article,high,evergreen,standard,historic-missions-in-texas-besides-the-alamo,/texas-history|/guides|/explore,no
td-list-091,History & Legends,15 origins behind famous Texas county names,15 origins behind famous Texas county names,seo_article,medium,evergreen,standard,origins-behind-famous-texas-county-names,/article/texas-courthouses-town-square|/article/why-texas-has-254-counties|/texas-history|/guides|/explore,no
td-list-092,History & Legends,10 famous Texas inventions that changed the world,10 famous Texas inventions that changed the world,seo_article,high,evergreen,standard,famous-texas-inventions-that-changed-the-world,/texas-history|/guides|/explore,no
td-list-093,History & Legends,12 architectural masterpieces found in Texas,12 architectural masterpieces found in Texas,seo_article,medium,evergreen,standard,architectural-masterpieces-found-in-texas,/texas-history|/guides|/explore,no
td-list-094,History & Legends,15 legendary Texas musicians who defined their genres,15 legendary Texas musicians who defined their genres,seo_article,medium,evergreen,standard,legendary-texas-musicians-who-defined-their-genres,/texas-history|/guides|/explore,no
td-list-095,History & Legends,10 historic train stations turned into Texas museums,10 historic train stations turned into Texas museums,seo_article,medium,evergreen,standard,historic-train-stations-turned-into-texas-museums,/texas-history|/guides|/explore,no
td-list-096,History & Legends,12 facts about the Texas cowboy way of life in the 1800s,12 facts about the Texas cowboy way of life in the 1800s,seo_article,medium,evergreen,standard,facts-about-the-texas-cowboy-way-of-life-in-the-1800s,/texas-history|/guides|/explore,no
td-list-097,History & Legends,15 famous women who shaped Texas history,15 famous women who shaped Texas history,seo_article,high,evergreen,standard,famous-women-who-shaped-texas-history,/texas-history|/guides|/explore,no
td-list-098,History & Legends,10 secrets hidden inside Texas museum archives,10 fascinating finds from Texas museum archives,seo_article,medium,evergreen,standard,fascinating-finds-from-texas-museum-archives,/texas-history|/guides|/explore,no
td-list-099,History & Legends,12 historic bridges still standing in Texas,12 historic bridges still standing in Texas,seo_article,medium,evergreen,standard,historic-bridges-still-standing-in-texas,/texas-history|/guides|/explore,no
td-list-100,History & Legends,15 milestones that defined the Texas civil rights movement,15 milestones that defined the Texas civil rights movement,seo_article,high,evergreen,high-verification,milestones-that-defined-the-texas-civil-rights-movement,/texas-history|/guides|/explore,no
