id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-186,"Architecture, Quirky Landmarks, & Oddities",15 weird roadside attractions in Texas you have to pull over for,15 weird Texas roadside attractions worth pulling over for,seo_article,high,evergreen,standard,weird-texas-roadside-attractions-worth-pulling-over-for,/article/texas-farm-to-market-roads-explained|/explore|/texas-history|/guides,no
td-list-187,"Architecture, Quirky Landmarks, & Oddities",10 most beautiful historic courthouses in Texas,10 beautiful historic courthouses in Texas,seo_article,high,evergreen,standard,beautiful-historic-courthouses-in-texas,/article/texas-courthouses-town-square|/article/why-texas-has-254-counties|/explore|/texas-history|/guides,no
td-list-188,"Architecture, Quirky Landmarks, & Oddities","12 largest things in Texas (World’s largest cowboy boots, etc.)","12 largest things in Texas (World’s largest cowboy boots, etc.)",social_list,low,evergreen,standard,largest-things-in-texas,/explore|/texas-history|/guides,no
td-list-189,"Architecture, Quirky Landmarks, & Oddities",15 structural marvels and mega-bridges in Texas,15 structural marvels and mega-bridges in Texas,seo_article,medium,evergreen,standard,structural-marvels-and-mega-bridges-in-texas,/explore|/texas-history|/guides,no
td-list-190,"Architecture, Quirky Landmarks, & Oddities",10 abandoned places in Texas with fascinating backstories,10 abandoned places in Texas with fascinating backstories,seo_article,medium,evergreen,standard,abandoned-places-in-texas-with-fascinating-backstories,/explore|/texas-history|/guides,no
td-list-191,"Architecture, Quirky Landmarks, & Oddities",12 examples of bizarre architecture found in Texas cities,12 examples of bizarre architecture found in Texas cities,seo_article,medium,evergreen,standard,examples-of-bizarre-architecture-found-in-texas-cities,/article/texas-home-architecture-regions|/explore|/texas-history|/guides,no
td-list-192,"Architecture, Quirky Landmarks, & Oddities",15 things you’ll see driving down Interstate 35,15 things you’ll see driving down Interstate 35,social_list,low,evergreen,standard,things-you-ll-see-driving-down-interstate-35,/article/texas-farm-to-market-roads-explained|/explore|/texas-history|/guides,no
td-list-193,"Architecture, Quirky Landmarks, & Oddities",10 quirky art installations in the Texas desert,10 quirky art installations in the Texas desert,seo_article,medium,evergreen,standard,quirky-art-installations-in-the-texas-desert,/explore|/texas-history|/guides,no
td-list-194,"Architecture, Quirky Landmarks, & Oddities",12 most photogenic spots in Texas for your Instagram feed,12 of the most photogenic places in Texas,social_list,medium,evergreen,standard,of-the-most-photogenic-places-in-texas,/explore|/texas-history|/guides,no
td-list-195,"Architecture, Quirky Landmarks, & Oddities",15 historic lighthouses along the Texas coast,15 historic lighthouses along the Texas coast,seo_article,medium,evergreen,standard,historic-lighthouses-along-the-texas-coast,/explore|/texas-history|/guides,no
td-list-196,"Architecture, Quirky Landmarks, & Oddities",10 hidden tunnels and underground spots in Texas,10 hidden tunnels and underground spots in Texas,seo_article,medium,evergreen,standard,hidden-tunnels-and-underground-spots-in-texas,/explore|/texas-history|/guides,no
td-list-197,"Architecture, Quirky Landmarks, & Oddities",12 castle structures you wouldn't expect to find in Texas,12 castle structures you wouldn't expect to find in Texas,seo_article,medium,evergreen,standard,castle-structures-you-wouldn-t-expect-to-find-in-texas,/explore|/texas-history|/guides,no
td-list-198,"Architecture, Quirky Landmarks, & Oddities",15 historic Texas ranches with gorgeous main houses,15 historic Texas ranches with gorgeous main houses,seo_article,medium,evergreen,standard,historic-texas-ranches-with-gorgeous-main-houses,/article/texas-home-architecture-regions|/explore|/texas-history|/guides,no
td-list-199,"Architecture, Quirky Landmarks, & Oddities",10 gravity-defying rock formations in Texas,10 dramatic Texas rock formations that seem to defy gravity,seo_article,medium,evergreen,standard,dramatic-texas-rock-formations-that-seem-to-defy-gravity,/explore|/texas-history|/guides,no
td-list-200,"Architecture, Quirky Landmarks, & Oddities",12 beautifully restored theaters from the 1920s in Texas,12 beautifully restored theaters from the 1920s in Texas,seo_article,medium,evergreen,standard,beautifully-restored-theaters-from-the-1920s-in-texas,/explore|/texas-history|/guides,no
