id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-026,"Food, BBQ, & Dining",20 things you must buy on a road trip to Buc-ee's,20 road-trip favorites to pick up at Buc-ee’s,seo_article,medium,evergreen,standard,road-trip-favorites-to-pick-up-at-buc-ee-s,/article/texas-farm-to-market-roads-explained|/explore/food-bbq|/guides|/texas-history,no
td-list-027,"Food, BBQ, & Dining",15 mandatory items on a Texas backyard BBQ menu,15 essentials for a Texas backyard barbecue menu,seo_article,medium,annual-review,verify-current,essentials-for-a-texas-backyard-barbecue-menu,/article/texas-barbecue-styles-explained|/explore/food-bbq|/guides|/texas-history,no
td-list-028,"Food, BBQ, & Dining",10 absolute rules for making authentic Texas chili (No beans!),10 rules for making Texas-style chili — and the no-beans debate,seo_article,medium,evergreen,standard,rules-for-making-texas-style-chili-and-the-no-beans-debate,/article/texas-barbecue-styles-explained|/article/texas-wildlife-guide|/explore/food-bbq|/guides|/texas-history,no
td-list-029,"Food, BBQ, & Dining",12 Whataburger menu hacks every local should try,12 Whataburger ordering ideas locals swear by,seo_article,medium,evergreen,standard,whataburger-ordering-ideas-locals-swear-by,/explore/food-bbq|/guides|/texas-history,no
td-list-030,"Food, BBQ, & Dining",15 iconic Texas food brands found in every H-E-B,15 iconic Texas food brands commonly found at H-E-B,seo_article,medium,evergreen,verify-current,iconic-texas-food-brands-commonly-found-at-h-e-b,/article/texas-barbecue-styles-explained|/explore/food-bbq|/guides|/texas-history,no
td-list-031,"Food, BBQ, & Dining",10 best towns in Texas to get authentic brisket,10 Texas towns known for great brisket,seo_article,medium,evergreen,standard,texas-towns-known-for-great-brisket,/article/texas-barbecue-styles-explained|/explore/food-bbq|/guides|/texas-history,no
td-list-032,"Food, BBQ, & Dining",15 legendary Tex-Mex dishes ranked from best to worst,15 classic Tex-Mex dishes worth knowing,seo_article,medium,evergreen,standard,classic-tex-mex-dishes-worth-knowing,/article/texas-barbecue-styles-explained|/explore/food-bbq|/guides|/texas-history,no
td-list-033,"Food, BBQ, & Dining",12 unique ways Texans use Blue Bell ice cream,12 unique ways Texans use Blue Bell ice cream,social_list,low,evergreen,standard,unique-ways-texans-use-blue-bell-ice-cream,/explore/food-bbq|/guides|/texas-history,no
td-list-034,"Food, BBQ, & Dining","10 best kolache flavors you can find in West, Texas","10 kolache flavors to try in West, Texas",seo_article,medium,evergreen,standard,kolache-flavors-to-try-in-west-texas,/explore/food-bbq|/guides|/texas-history,no
td-list-035,"Food, BBQ, & Dining",15 essential stops on a Texas taco trail,15 stops to build into a Texas taco trail,seo_article,medium,evergreen,standard,stops-to-build-into-a-texas-taco-trail,/article/texas-barbecue-styles-explained|/explore/food-bbq|/guides|/texas-history,no
