id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-201,"Seasonal, Holidays, & Traditions",15 things that always happen during a Texas Thanksgiving,15 familiar scenes at a Texas Thanksgiving,social_list,low,seasonal,standard,familiar-scenes-at-a-texas-thanksgiving,/events|/explore|/guides,no
td-list-202,"Seasonal, Holidays, & Traditions",10 ways Texans celebrate Christmas in the heat,10 ways Texans celebrate Christmas in the heat,social_list,low,seasonal,standard,ways-texans-celebrate-christmas-in-the-heat,/events|/explore|/guides,no
td-list-203,"Seasonal, Holidays, & Traditions",12 unique things about a Texas New Year's Eve celebration,12 unique things about a Texas New Year's Eve celebration,social_list,low,seasonal,standard,unique-things-about-a-texas-new-year-s-eve-celebration,/events|/explore|/guides,no
td-list-204,"Seasonal, Holidays, & Traditions",15 things to do on Texas Independence Day (March 2nd),15 things to do on Texas Independence Day (March 2nd),seo_article,high,seasonal,standard,things-to-do-on-texas-independence-day,/events|/explore|/guides,no
td-list-205,"Seasonal, Holidays, & Traditions",10 best small-town 4th of July parades in Texas,10 Texas small-town Fourth of July parades worth seeing,seo_article,medium,seasonal,standard,texas-small-town-fourth-of-july-parades-worth-seeing,/events|/explore|/guides,no
td-list-206,"Seasonal, Holidays, & Traditions",12 iconic traditions of the Fiesta San Antonio festival,12 iconic traditions of the Fiesta San Antonio festival,seo_article,medium,seasonal,standard,iconic-traditions-of-the-fiesta-san-antonio-festival,/events|/explore|/guides,no
td-list-207,"Seasonal, Holidays, & Traditions","15 ways to celebrate Halloween, Texas-style","15 ways to celebrate Halloween, Texas-style",social_list,low,seasonal,standard,ways-to-celebrate-halloween-texas-style,/events|/explore|/guides,no
td-list-208,"Seasonal, Holidays, & Traditions",10 signs spring has officially arrived in Texas,10 signs spring has officially arrived in Texas,social_list,medium,seasonal,standard,signs-spring-has-officially-arrived-in-texas,/events|/explore|/guides,no
td-list-209,"Seasonal, Holidays, & Traditions",12 things Texans look forward to every autumn,12 things Texans look forward to every autumn,social_list,low,seasonal,standard,things-texans-look-forward-to-every-autumn,/events|/explore|/guides,no
td-list-210,"Seasonal, Holidays, & Traditions",15 unique county fairs you should attend this fall,15 Texas county fairs worth putting on your fall calendar,seo_article,medium,seasonal,standard,texas-county-fairs-worth-putting-on-your-fall-calendar,/article/texas-courthouses-town-square|/article/why-texas-has-254-counties|/events|/explore|/guides,no
td-list-211,"Seasonal, Holidays, & Traditions",10 ways Texans beat the winter blues,10 ways Texans beat the winter blues,social_list,low,seasonal,standard,ways-texans-beat-the-winter-blues,/events|/explore|/guides,no
td-list-212,"Seasonal, Holidays, & Traditions",12 classic foods served at Texas holiday parties,12 classic foods served at Texas holiday parties,social_list,low,seasonal,standard,classic-foods-served-at-texas-holiday-parties,/article/texas-barbecue-styles-explained|/events|/explore|/guides,no
td-list-213,"Seasonal, Holidays, & Traditions",15 historic churches to visit during the holidays in Texas,15 historic churches to visit during the holidays in Texas,seo_article,medium,seasonal,standard,historic-churches-to-visit-during-the-holidays-in-texas,/events|/explore|/guides,no
td-list-214,"Seasonal, Holidays, & Traditions",10 things to do during Spring Break in Texas,10 spring-break ideas in Texas,seo_article,medium,seasonal,standard,spring-break-ideas-in-texas,/events|/explore|/guides,no
td-list-215,"Seasonal, Holidays, & Traditions",12 traditions of the Texas Juneteenth celebrations,12 traditions of the Texas Juneteenth celebrations,seo_article,medium,seasonal,standard,traditions-of-the-texas-juneteenth-celebrations,/events|/explore|/guides,no
