id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-051,"Geography, Cities, & Towns",15 hidden gem small towns in Texas you need to visit,15 hidden-gem small towns in Texas worth visiting,seo_article,medium,evergreen,standard,hidden-gem-small-towns-in-texas-worth-visiting,/explore|/guides|/texas-history,no
td-list-052,"Geography, Cities, & Towns",10 reasons why Austin and Dallas are completely different worlds,10 ways Austin and Dallas feel like different worlds,seo_article,medium,evergreen,standard,ways-austin-and-dallas-feel-like-different-worlds,/explore|/guides|/texas-history,no
td-list-053,"Geography, Cities, & Towns",12 weirdest town names in Texas and how they got them,12 weirdest town names in Texas and how they got them,seo_article,medium,evergreen,standard,weirdest-town-names-in-texas-and-how-they-got-them,/explore|/guides|/texas-history,no
td-list-054,"Geography, Cities, & Towns",15 best things to do on a weekend trip to Fredericksburg,15 things to do on a weekend in Fredericksburg,seo_article,high,evergreen,standard,things-to-do-on-a-weekend-in-fredericksburg,/explore|/guides|/texas-history,no
td-list-055,"Geography, Cities, & Towns",10 reasons to fall in love with El Paso culture,10 reasons to fall in love with El Paso culture,seo_article,medium,seasonal,standard,reasons-to-fall-in-love-with-el-paso-culture,/explore|/guides|/texas-history,no
td-list-056,"Geography, Cities, & Towns",12 scenic drives in the Texas Hill Country,12 scenic drives in the Texas Hill Country,seo_article,medium,evergreen,standard,scenic-drives-in-the-texas-hill-country,/explore|/guides|/texas-history,no
td-list-057,"Geography, Cities, & Towns",15 things that make West Texas feel like a different planet,15 things that make West Texas feel like a different planet,social_list,low,evergreen,standard,things-that-make-west-texas-feel-like-a-different-planet,/article/texas-regions-explained|/article/texas-cultural-regions-explained|/explore|/guides|/texas-history,no
td-list-058,"Geography, Cities, & Towns",10 historic landmarks you must visit in San Antonio,10 historic San Antonio landmarks worth visiting,seo_article,medium,evergreen,standard,historic-san-antonio-landmarks-worth-visiting,/article/buying-land-in-texas-guide|/explore|/guides|/texas-history,no
td-list-059,"Geography, Cities, & Towns",12 reasons Fort Worth is cooler than Dallas,12 ways Fort Worth and Dallas feel different,seo_article,medium,evergreen,standard,ways-fort-worth-and-dallas-feel-different,/explore|/guides|/texas-history,no
td-list-060,"Geography, Cities, & Towns",15 best coastal towns in Texas for a beach getaway,15 best coastal towns in Texas for a beach getaway,seo_article,medium,annual-review,verify-current,best-coastal-towns-in-texas-for-a-beach-getaway,/explore|/guides|/texas-history,no
