id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-101,"Nature, Wildlife, & Outdoors",15 dangerous animals in Texas you should avoid,15 Texas animals that deserve extra caution,seo_article,medium,evergreen,standard,texas-animals-that-deserve-extra-caution,/article/texas-wildlife-guide|/explore/outdoors|/guides|/explore,no
td-list-102,"Nature, Wildlife, & Outdoors",10 best Texas lakes for bass fishing,10 Texas lakes known for bass fishing,seo_article,high,evergreen,standard,texas-lakes-known-for-bass-fishing,/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/explore/outdoors|/guides|/explore,no
td-list-103,"Nature, Wildlife, & Outdoors",12 unique bird species you can only find in Texas,12 notable bird species with strong Texas ties,seo_article,medium,evergreen,standard,notable-bird-species-with-strong-texas-ties,/article/texas-wildlife-guide|/explore/outdoors|/guides|/explore,no
td-list-104,"Nature, Wildlife, & Outdoors",15 best hiking trails in Big Bend National Park,15 standout hiking trails in Big Bend National Park,seo_article,high,evergreen,standard,standout-hiking-trails-in-big-bend-national-park,/explore/outdoors|/guides|/explore,no
td-list-105,"Nature, Wildlife, & Outdoors",10 native Texas plants that thrive in extreme heat,10 native Texas plants that thrive in extreme heat,seo_article,high,evergreen,standard,native-texas-plants-that-thrive-in-extreme-heat,/article/texas-wildflowers-guide|/article/best-native-plants-texas-yard|/explore/outdoors|/guides|/explore,no
td-list-106,"Nature, Wildlife, & Outdoors",12 best places to go camping under the Texas stars,12 great places to camp under the Texas stars,seo_article,high,evergreen,standard,great-places-to-camp-under-the-texas-stars,/explore/outdoors|/guides|/explore,no
td-list-107,"Nature, Wildlife, & Outdoors",15 facts about the official state mammal: the Texas Longhorn,15 facts about the official state mammal: the Texas Longhorn,seo_article,medium,evergreen,standard,facts-about-the-official-state-mammal-the-texas-longhorn,/article/texas-wildlife-guide|/explore/outdoors|/guides|/explore,no
td-list-108,"Nature, Wildlife, & Outdoors",10 best rivers in Texas for a lazy weekend tubing trip,10 Texas rivers popular for a lazy weekend tubing trip,seo_article,high,evergreen,standard,texas-rivers-popular-for-a-lazy-weekend-tubing-trip,/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/explore/outdoors|/guides|/explore,no
td-list-109,"Nature, Wildlife, & Outdoors",12 invasive species causing trouble in Texas ecosystems,12 invasive species causing trouble in Texas ecosystems,seo_article,medium,evergreen,standard,invasive-species-causing-trouble-in-texas-ecosystems,/explore/outdoors|/guides|/explore,no
td-list-110,"Nature, Wildlife, & Outdoors",15 best places for rock climbing in Texas,15 Texas rock-climbing destinations to know,seo_article,medium,evergreen,standard,texas-rock-climbing-destinations-to-know,/explore/outdoors|/guides|/explore,no
td-list-111,"Nature, Wildlife, & Outdoors",10 incredible caverns you can tour beneath Texas,10 incredible caverns you can tour beneath Texas,seo_article,high,evergreen,standard,incredible-caverns-you-can-tour-beneath-texas,/explore/outdoors|/guides|/explore,no
td-list-112,"Nature, Wildlife, & Outdoors",12 facts about the Mexican free-tailed bats in Austin,12 facts about the Mexican free-tailed bats in Austin,seo_article,medium,evergreen,standard,facts-about-the-mexican-free-tailed-bats-in-austin,/article/texas-wildlife-guide|/explore/outdoors|/guides|/explore,no
td-list-113,"Nature, Wildlife, & Outdoors",15 native Texas wildflowers that aren’t bluebonnets,15 native Texas wildflowers that aren’t bluebonnets,seo_article,high,seasonal,standard,native-texas-wildflowers-that-aren-t-bluebonnets,/article/texas-wildflowers-guide|/article/best-native-plants-texas-yard|/explore/outdoors|/guides|/explore,no
td-list-114,"Nature, Wildlife, & Outdoors",10 best places to see fall foliage in Texas,10 great places to see fall color in Texas,seo_article,medium,seasonal,standard,great-places-to-see-fall-color-in-texas,/explore/outdoors|/guides|/explore,no
td-list-115,"Nature, Wildlife, & Outdoors",12 unique marine animals found in the Texas Gulf,12 unique marine animals found in the Texas Gulf,seo_article,medium,evergreen,standard,unique-marine-animals-found-in-the-texas-gulf,/article/texas-wildlife-guide|/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/explore/outdoors|/guides,no
td-list-116,"Nature, Wildlife, & Outdoors",15 best Texas state parks for mountain biking,15 Texas state parks with mountain-biking opportunities,seo_article,high,evergreen,standard,texas-state-parks-with-mountain-biking-opportunities,/explore/outdoors|/guides|/explore,no
