source_number,source_title,coverage_status,canonical_route,secondary_route,recommended_action,claim_review,publish_decision,notes
1,Buddy Holly’s Last Ride,existing-cluster,/lubbock-music-history,,expand-existing-route,event-history-needs-verification,hold,Lubbock music authority coverage already exists; research the final-session framing before adding it.
2,Birth of Dr Pepper,existing-authority,/dr-pepper-texas-history,/destination/dr-pepper-museum,keep-existing-route,routine-verification,hold,Dedicated Dr Pepper authority coverage already exists; do not create a competing article.
3,Willie’s 4th of July Picnic,candidate-new-article,,,research-new-article,event-history-needs-verification,hold,Strong standalone history candidate if primary sources support the Dripping Springs origin and annual-event chronology.
4,Selena’s Corpus Christi Rise,existing-cluster,/corpus-christi-music-history,,expand-existing-route,source-summary-needs-verification,hold,Corpus Christi music authority coverage already provides the canonical cluster for Selena's regional rise.
5,Stevie Ray Vaughan’s Guitar Mastery,existing-cluster,/austin-music-history,,expand-existing-route,source-summary-needs-verification,hold,Austin music history is the safer canonical cluster unless a distinct biography adds non-duplicative value.
6,The Creation of the Margarita,claim-risk-hold,,,hold-for-verification,disputed-origin,hold,Origin claims are disputed; do not publish a single-inventor story until competing claims are researched and framed.
7,The Velvet-Voice of Roy Orbison,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,Likely overlaps the Texas music/talent graph; confirm current canonical coverage before commissioning a new biography.
8,Austin City Limits TV,existing-cluster,/austin-music-history,,expand-existing-route,event-history-needs-verification,hold,Austin music history is a verified public authority route; evaluate whether ACL merits a separate page only after gap analysis.
9,The King of Western Swing,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,Bob Wills appears in statewide music coverage; confirm whether a dedicated canonical page already exists.
10,The Amarillo Highway Anthem,claim-risk-hold,,,hold-for-verification,attribution-conflict,hold,The supplied headline and Waylon Jennings attribution need independent verification before any article angle is chosen.
11,The Luckenbach Magic,existing-destination,/destination/luckenbach,,expand-existing-route,source-summary-needs-verification,hold,Luckenbach already has a canonical destination route; fold verified cultural history into that page rather than duplicate it.
12,The Chicano Soul of Sunny and the Sunliners,existing-cluster,/san-antonio-music-history,,expand-existing-route,source-summary-needs-verification,hold,San Antonio music history is the natural canonical cluster; assess whether a dedicated artist page adds material depth.
13,ZZ Top’s Little ol’ Band from Texas,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,ZZ Top is already represented in Texas music/icon data; confirm public canonical coverage before creating another route.
14,The Marfa Lights Mystery,route-review-needed,,,confirm-route-before-development,folklore-needs-framing,hold,The topic may overlap Marfa destination coverage; folklore and observation claims require careful sourcing.
15,The Terlingua Chili Championship,route-review-needed,,,confirm-route-before-development,event-history-needs-verification,hold,Likely overlaps Terlingua and chili-event coverage; verify the canonical route and competing event histories first.
16,The Crushed Ice Craze (Sonic),candidate-new-article,,,research-new-article,brand-claim-needs-verification,hold,"Potential culture/brand story, but Texas relevance and the claim that Sonic perfected the ice need independent sourcing."
17,Shiner Bock’s German Roots,route-review-needed,,,confirm-route-before-development,brand-history-needs-verification,hold,Shiner Bock is already represented in brand/icon data; confirm whether the existing Shiner cluster is sufficient.
18,The Poteet Strawberry Festival,existing-authority,/event/poteet-strawberry-festival,,keep-existing-route,event-history-needs-verification,hold,Poteet Strawberry Festival already has an implemented event authority route; add verified history there instead of creating a competing article.
19,The King Ranch Empire,existing-authority,/article/king-ranch-texas-history-cattle-legacy,,keep-existing-route,superlative-needs-verification,hold,A dedicated King Ranch authority article already exists; strengthen that page if the backlog exposes factual gaps.
20,The Birth of Chicken Fried Steak,existing-authority,/texas-chicken-fried-steak-guide,,keep-existing-route,origin-claim-needs-verification,hold,A purpose-built chicken-fried-steak guide already exists; origin claims belong there and need careful sourcing.
21,The Houston Livestock Show and Rodeo,existing-authority,/event/houston-livestock-show-rodeo,,keep-existing-route,event-history-needs-verification,hold,Houston Livestock Show and Rodeo already has an implemented event authority route with official-source enrichment; historical context belongs there.
22,The Gruene Hall Dancefloor,existing-authority,/gruene-hall-history,/texas-dance-halls-honky-tonks,keep-existing-route,superlative-needs-verification,hold,Gruene Hall already has dedicated music-venue authority coverage plus the statewide dance-hall cluster.
23,The George Jones Voice,route-review-needed,,,confirm-route-before-development,source-summary-needs-verification,hold,Confirm the current talent/music profile coverage before creating a standalone biography.
24,The Lubbock Sound,existing-authority,/lubbock-music-history,,keep-existing-route,source-summary-needs-verification,hold,This is directly within the scope of the existing Lubbock music-history authority page.
25,The Blanco Bowling Club,route-review-needed,,,confirm-route-before-development,superlative-needs-verification,hold,The 'one of the oldest' claim and venue identity need research plus a check for an existing destination or directory route.
26,The Kerrville Folk Festival,existing-authority,/event/kerrville-folk-festival,,keep-existing-route,event-history-needs-verification,hold,Kerrville Folk Festival already has an implemented event authority route with official-source enrichment; do not create a duplicate history URL.
27,The Blue Bell Creameries Miracle,existing-authority,/article/blue-bell-ice-cream-brenham-texas-history,,keep-existing-route,source-summary-needs-verification,hold,A dedicated Blue Bell history article already exists; avoid a competing URL.
28,The San Antonio Stock Show & Rodeo,existing-authority,/event/san-antonio-stock-show-rodeo,,keep-existing-route,event-history-needs-verification,hold,San Antonio Stock Show & Rodeo already has an implemented event authority route; add verified history to that route rather than duplicate it.
29,The Fort Worth Stockyards Cowtown Legacy,existing-destination,/destination/fort-worth-stockyards,,expand-existing-route,superlative-needs-verification,hold,Fort Worth Stockyards already has a canonical destination route; add verified history there if needed.
