id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-216,"Transportation, Travel, & Infrastructure",15 rules for surviving the Dallas-Fort Worth Mixmaster,15 things to know before driving the Dallas-Fort Worth Mixmaster,social_list,low,evergreen,standard,things-to-know-before-driving-the-dallas-fort-worth-mixmaster,/article/texas-farm-to-market-roads-explained|/guides|/moving-to-texas|/explore,no
td-list-217,"Transportation, Travel, & Infrastructure",10 things to know about the Texas power grid,10 things to know about the Texas power grid,seo_article,high,evergreen,high-verification,things-to-know-about-the-texas-power-grid,/guides|/moving-to-texas|/explore,no
td-list-218,"Transportation, Travel, & Infrastructure",12 most scenic train routes through Texas,12 most scenic train routes through Texas,seo_article,medium,evergreen,standard,most-scenic-train-routes-through-texas,/guides|/moving-to-texas|/explore,no
td-list-219,"Transportation, Travel, & Infrastructure",15 best rest stops on Texas highways ranked,15 useful Texas highway rest stops for a road trip,seo_article,medium,evergreen,standard,useful-texas-highway-rest-stops-for-a-road-trip,/article/texas-farm-to-market-roads-explained|/guides|/moving-to-texas|/explore,no
td-list-220,"Transportation, Travel, & Infrastructure",10 facts about the massive Texas interstate system,10 facts about the massive Texas interstate system,seo_article,high,evergreen,standard,facts-about-the-massive-texas-interstate-system,/article/texas-farm-to-market-roads-explained|/guides|/moving-to-texas|/explore,no
td-list-221,"Transportation, Travel, & Infrastructure",12 tips for flying out of DFW or Houston Bush airports,12 tips for flying out of DFW or Houston Bush airports,seo_article,medium,evergreen,standard,tips-for-flying-out-of-dfw-or-houston-bush-airports,/guides|/moving-to-texas|/explore,no
td-list-222,"Transportation, Travel, & Infrastructure",15 things you need in your Texas car emergency kit,15 things you need in your Texas car emergency kit,seo_article,medium,evergreen,standard,things-you-need-in-your-texas-car-emergency-kit,/guides|/moving-to-texas|/explore,no
td-list-223,"Transportation, Travel, & Infrastructure",10 best truck stops in Texas for professional drivers,10 Texas truck stops professional drivers often use,seo_article,medium,annual-review,standard,texas-truck-stops-professional-drivers-often-use,/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/guides|/moving-to-texas|/explore,no
td-list-224,"Transportation, Travel, & Infrastructure",12 beautiful historic train depots in Texas,12 beautiful historic train depots in Texas,seo_article,medium,evergreen,standard,beautiful-historic-train-depots-in-texas,/guides|/moving-to-texas|/explore,no
td-list-225,"Transportation, Travel, & Infrastructure",15 things that happen on a drive from Houston to Austin,15 things that happen on a drive from Houston to Austin,social_list,low,evergreen,standard,things-that-happen-on-a-drive-from-houston-to-austin,/guides|/moving-to-texas|/explore,no
