id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-226,Miscellaneous & Deep Cuts,15 types of dirt found in Texas and what they grow,15 types of dirt found in Texas and what they grow,seo_article,medium,evergreen,standard,types-of-dirt-found-in-texas-and-what-they-grow,/guides|/texas-history|/home-garden,no
td-list-227,Miscellaneous & Deep Cuts,10 things that make the Texas accent unique across regions,10 things that make the Texas accent unique across regions,seo_article,medium,evergreen,standard,things-that-make-the-texas-accent-unique-across-regions,/article/texas-regions-explained|/article/texas-cultural-regions-explained|/guides|/texas-history|/home-garden,no
td-list-228,Miscellaneous & Deep Cuts,12 best places to buy authentic Texas pecans,12 places and producers to know when buying Texas pecans,seo_article,medium,annual-review,standard,places-and-producers-to-know-when-buying-texas-pecans,/guides|/texas-history|/home-garden,no
td-list-229,Miscellaneous & Deep Cuts,15 famous law enforcement cases solved by Texas agencies,15 famous law enforcement cases solved by Texas agencies,seo_article,medium,evergreen,high-verification,famous-law-enforcement-cases-solved-by-texas-agencies,/guides|/texas-history|/home-garden,no
td-list-230,Miscellaneous & Deep Cuts,10 unique bugs and insects you’ll encounter in Texas,10 unique bugs and insects you’ll encounter in Texas,seo_article,medium,evergreen,standard,unique-bugs-and-insects-you-ll-encounter-in-texas,/article/texas-wildlife-guide|/guides|/texas-history|/home-garden,no
td-list-231,Miscellaneous & Deep Cuts,12 things to know about Texas water rights and laws,12 things to know about Texas water rights and laws,seo_article,high,evergreen,high-verification,things-to-know-about-texas-water-rights-and-laws,/article/texas-rivers-explained|/article/texas-lakes-reservoirs-explained|/guides|/texas-history|/home-garden,no
td-list-232,Miscellaneous & Deep Cuts,15 best places to buy a cowboy hat in Texas,15 Texas shops known for cowboy hats,seo_article,medium,annual-review,verify-current,texas-shops-known-for-cowboy-hats,/guides|/texas-history|/home-garden,no
td-list-233,Miscellaneous & Deep Cuts,10 historic Texas brands that went out of business,10 historic Texas brands that went out of business,seo_article,medium,evergreen,verify-current,historic-texas-brands-that-went-out-of-business,/guides|/texas-history|/home-garden,no
td-list-234,Miscellaneous & Deep Cuts,12 facts about the Texas State Guard and military history,12 facts about the Texas State Guard and military history,seo_article,medium,evergreen,standard,facts-about-the-texas-state-guard-and-military-history,/guides|/texas-history|/home-garden,no
td-list-235,Miscellaneous & Deep Cuts,15 best outdoor patios for dining in Texas,15 Texas outdoor patios worth knowing for dining,seo_article,medium,annual-review,verify-current,texas-outdoor-patios-worth-knowing-for-dining,/guides|/texas-history|/home-garden,no
td-list-236,Miscellaneous & Deep Cuts,10 things that make a Texas front porch iconic,10 things that make a Texas front porch iconic,seo_article,medium,evergreen,standard,things-that-make-a-texas-front-porch-iconic,/article/texas-home-architecture-regions|/guides|/texas-history|/home-garden,no
td-list-237,Miscellaneous & Deep Cuts,12 historic general stores still operating in Texas,12 historic general stores still operating in Texas,seo_article,medium,evergreen,verify-current,historic-general-stores-still-operating-in-texas,/guides|/texas-history|/home-garden,no
td-list-238,Miscellaneous & Deep Cuts,15 unique types of wood used in Texas woodworking,15 unique types of wood used in Texas woodworking,seo_article,medium,evergreen,standard,unique-types-of-wood-used-in-texas-woodworking,/article/texas-trees-guide|/guides|/texas-history|/home-garden,no
td-list-239,Miscellaneous & Deep Cuts,10 things you didn’t know about the Texas oil fields,10 things you didn’t know about the Texas oil fields,seo_article,high,evergreen,standard,things-you-didn-t-know-about-the-texas-oil-fields,/guides|/texas-history|/home-garden,no
td-list-240,Miscellaneous & Deep Cuts,12 best places to see the stars in North Texas,12 North Texas places known for dark skies and stargazing,seo_article,medium,evergreen,standard,north-texas-places-known-for-dark-skies-and-stargazing,/guides|/texas-history|/home-garden,no
td-list-241,Miscellaneous & Deep Cuts,15 unique livestock breeds raised on Texas ranches,15 unique livestock breeds raised on Texas ranches,seo_article,medium,evergreen,standard,unique-livestock-breeds-raised-on-texas-ranches,/article/texas-home-architecture-regions|/guides|/texas-history|/home-garden,no
td-list-242,Miscellaneous & Deep Cuts,10 ways Texas has influenced global country music,10 ways Texas has influenced global country music,seo_article,medium,evergreen,standard,ways-texas-has-influenced-global-country-music,/guides|/texas-history|/home-garden,no
td-list-243,Miscellaneous & Deep Cuts,12 unique building materials native to Texas,12 unique building materials native to Texas,seo_article,medium,evergreen,standard,unique-building-materials-native-to-texas,/article/texas-home-architecture-regions|/guides|/texas-history|/home-garden,no
td-list-244,Miscellaneous & Deep Cuts,15 historic cemeteries where famous Texans are buried,15 historic cemeteries where famous Texans are buried,seo_article,medium,evergreen,standard,historic-cemeteries-where-famous-texans-are-buried,/guides|/texas-history|/home-garden,no
