id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-151,"Lifestyle, Shopping, & Economy",15 things you can only buy at an H-E-B grocery store,15 H-E-B products and exclusives Texans love,social_list,medium,evergreen,standard,h-e-b-products-and-exclusives-texans-love,/guides|/real-estate|/moving-to-texas,no
td-list-152,"Lifestyle, Shopping, & Economy",10 best custom cowboy boot makers in Texas,10 best custom cowboy boot makers in Texas,seo_article,medium,annual-review,verify-current,best-custom-cowboy-boot-makers-in-texas,/guides|/real-estate|/moving-to-texas,no
td-list-153,"Lifestyle, Shopping, & Economy",12 Texas-based companies that dominate global industries,12 Texas-based companies that dominate global industries,seo_article,medium,evergreen,standard,texas-based-companies-that-dominate-global-industries,/guides|/real-estate|/moving-to-texas,no
td-list-154,"Lifestyle, Shopping, & Economy",15 unique souvenirs you can only get in Texas,15 Texas souvenirs worth bringing home,seo_article,medium,evergreen,standard,texas-souvenirs-worth-bringing-home,/guides|/real-estate|/moving-to-texas,no
td-list-155,"Lifestyle, Shopping, & Economy",10 best flea markets in Texas for vintage finds,10 Texas flea markets worth browsing for vintage finds,seo_article,medium,annual-review,verify-current,texas-flea-markets-worth-browsing-for-vintage-finds,/guides|/real-estate|/moving-to-texas,no
td-list-156,"Lifestyle, Shopping, & Economy",12 things to know about the Texas real estate market,12 things to understand about the Texas real estate market,seo_article,high,annual-review,verify-current,things-to-understand-about-the-texas-real-estate-market,/article/buying-land-in-texas-guide|/guides|/real-estate|/moving-to-texas,no
td-list-157,"Lifestyle, Shopping, & Economy",15 perks of living in a state with no income tax,15 ways Texas’s lack of a state individual income tax affects residents,seo_article,medium,evergreen,standard,ways-texas-s-lack-of-a-state-individual-income-tax-affects-residents,/guides|/real-estate|/moving-to-texas,no
td-list-158,"Lifestyle, Shopping, & Economy",10 best shopping malls and districts in Texas,10 major Texas shopping districts and malls to know,seo_article,medium,evergreen,standard,major-texas-shopping-districts-and-malls-to-know,/guides|/real-estate|/moving-to-texas,no
td-list-159,"Lifestyle, Shopping, & Economy",12 iconic Texas fashion trends through the decades,12 iconic Texas fashion trends through the decades,seo_article,medium,evergreen,standard,iconic-texas-fashion-trends-through-the-decades,/guides|/real-estate|/moving-to-texas,no
td-list-160,"Lifestyle, Shopping, & Economy",15 handmade Texas goods you should buy online,15 kinds of handmade Texas goods worth seeking out,seo_article,medium,evergreen,standard,kinds-of-handmade-texas-goods-worth-seeking-out,/guides|/real-estate|/moving-to-texas,no
td-list-161,"Lifestyle, Shopping, & Economy",10 things that make Texas ranches worth millions,10 factors that can make a Texas ranch extremely valuable,seo_article,medium,evergreen,standard,factors-that-can-make-a-texas-ranch-extremely-valuable,/article/texas-home-architecture-regions|/guides|/real-estate|/moving-to-texas,no
td-list-162,"Lifestyle, Shopping, & Economy",12 secrets to finding the best deals at Texas outlet malls,12 ways to shop Texas outlet malls more strategically,seo_article,medium,evergreen,standard,ways-to-shop-texas-outlet-malls-more-strategically,/guides|/real-estate|/moving-to-texas,no
td-list-163,"Lifestyle, Shopping, & Economy",15 jobs that are booming right now in Texas,15 Texas job sectors worth watching,seo_article,medium,evergreen,standard,texas-job-sectors-worth-watching,/guides|/real-estate|/moving-to-texas,no
td-list-164,"Lifestyle, Shopping, & Economy",10 iconic western wear stores in Texas,10 iconic western wear stores in Texas,seo_article,medium,evergreen,verify-current,iconic-western-wear-stores-in-texas,/guides|/real-estate|/moving-to-texas,no
td-list-165,"Lifestyle, Shopping, & Economy",12 things about Texas college life that surprise outsiders,12 things about Texas college life that surprise outsiders,seo_article,medium,evergreen,standard,things-about-texas-college-life-that-surprise-outsiders,/guides|/real-estate|/moving-to-texas,no
td-list-166,"Lifestyle, Shopping, & Economy",15 best farmers markets in Texas for fresh produce,15 Texas farmers markets worth visiting for local produce,seo_article,medium,annual-review,verify-current,texas-farmers-markets-worth-visiting-for-local-produce,/guides|/real-estate|/moving-to-texas,no
td-list-167,"Lifestyle, Shopping, & Economy",10 major industries driving the Texas economy,10 major industries driving the Texas economy,seo_article,high,evergreen,standard,major-industries-driving-the-texas-economy,/article/texas-farm-to-market-roads-explained|/guides|/real-estate|/moving-to-texas,no
td-list-168,"Lifestyle, Shopping, & Economy",12 unique architecture styles of Texas suburban homes,12 unique architecture styles of Texas suburban homes,seo_article,medium,evergreen,standard,unique-architecture-styles-of-texas-suburban-homes,/article/texas-home-architecture-regions|/guides|/real-estate|/moving-to-texas,no
td-list-169,"Lifestyle, Shopping, & Economy",15 tips for moving your business to Texas,15 practical considerations when moving a business to Texas,seo_article,high,evergreen,standard,practical-considerations-when-moving-a-business-to-texas,/guides|/real-estate|/moving-to-texas,no
td-list-170,"Lifestyle, Shopping, & Economy",10 luxury resorts in Texas for a pampered weekend,10 Texas luxury resorts for a weekend getaway,seo_article,medium,annual-review,verify-current,texas-luxury-resorts-for-a-weekend-getaway,/guides|/real-estate|/moving-to-texas,no
