# TexasDefined GSC initial per-URL triage — 2026-09-05
# Source: Google Search Console > Discovered - currently not indexed
# Total: 452 URLs | KEEP 309 | IMPROVE 142 | REMOVE_CONSOLIDATE 1
# These are initial triage decisions. Page-level live reviews in later remediation-wave files override this starting classification.
action	path
KEEP	/antones-austin-history
KEEP	/article/audie-murphy-texas-war-hero-actor
KEEP	/article/beginners-guide-ordering-texas-barbecue
KEEP	/article/best-christmas-towns-in-texas
KEEP	/article/best-native-plants-texas-yard
KEEP	/article/best-places-to-see-bluebonnets-in-texas
KEEP	/article/best-texas-state-parks-for-fall-colors
KEEP	/article/big-bend-in-winter
KEEP	/article/blue-bell-ice-cream-brenham-texas-history
KEEP	/article/bluebonnets-near-austin
KEEP	/article/bucees-texas-road-trip-history
KEEP	/article/buffalo-soldiers-texas-frontier-guide
KEEP	/article/buying-land-in-texas-guide
KEEP	/article/chester-nimitz-texas-fleet-admiral
KEEP	/article/chris-kyle-texas-navy-seal-life-legacy
KEEP	/article/davy-crockett-texas-alamo-legend
KEEP	/article/fall-in-texas-complete-guide
KEEP	/article/fort-worth-stockyards-history-cattle-culture
KEEP	/article/fredericksburg-history-weekend-guide
KEEP	/article/goliad-history-weekend-guide
KEEP	/article/heb-texas-grocery-history-culture
KEEP	/article/james-bowie-texas-alamo-life-legend
KEEP	/article/juan-seguin-tejano-texas-revolution
KEEP	/article/king-ranch-texas-history-cattle-legacy
KEEP	/article/lake-buchanan-water-system-guide
REMOVE_CONSOLIDATE	/article/live-2026-07-07-texas-pitmasters-to-feature-in-new-food-network-competition-series-v3wglp
KEEP	/article/matagorda-island-lighthouse-history
KEEP	/article/mirabeau-b-lamar-president-republic-texas
KEEP	/article/prepare-texas-house-freeze
KEEP	/article/republic-of-texas-government-trail
KEEP	/article/sam-houston-texas-life-legacy
KEEP	/article/san-antonio-military-aviation-history
KEEP	/article/san-antonio-spurs-texas-basketball-culture
KEEP	/article/six-flags-over-texas-meaning
KEEP	/article/stephen-f-austin-father-of-texas
KEEP	/article/texas-barbecue-styles-explained
KEEP	/article/texas-borderlands-historic-sites-guide
KEEP	/article/texas-cattle-ranching-history-guide
KEEP	/article/texas-cold-war-military-history
KEEP	/article/texas-cultural-regions-explained
KEEP	/article/texas-fall-foliage-road-trip
KEEP	/article/texas-farm-to-market-roads-explained
KEEP	/article/texas-flag-etiquette-display-guide
KEEP	/article/texas-foundation-care-clay-soil-drought
KEEP	/article/texas-high-school-football-friday-night-lights
KEEP	/article/texas-hill-country-what-makes-it
KEEP	/article/texas-historic-sites-roadmap
KEEP	/article/texas-historic-travel-transportation-guide
KEEP	/article/texas-homeowner-field-manual
KEEP	/article/texas-lighthouses-complete-guide
KEEP	/article/texas-military-history-timeline
KEEP	/article/texas-military-museums-historic-sites-guide
KEEP	/article/texas-national-cemeteries-guide
KEEP	/article/texas-national-guard-history
KEEP	/article/texas-oil-boom-wichita-falls-west-texas-rigs
KEEP	/article/texas-park-recreational-roads-explained
KEEP	/article/texas-railroads-town-growth-explained
KEEP	/article/texas-red-river-war-guide
KEEP	/article/texas-roofs-hail-wind-heat
KEEP	/article/texas-rural-wells-water-guide
KEEP	/article/texas-schools-family-life
KEEP	/article/texas-state-parks-first-timers-guide
KEEP	/article/texas-trees-guide
KEEP	/article/texas-us-mexican-war-palo-alto-guide
KEEP	/article/texas-wildlife-guide
KEEP	/article/texas-world-war-ii-bases-pow-camps
KEEP	/article/toledo-bend-water-system-guide
KEEP	/article/washington-on-the-brazos-weekend-guide
KEEP	/article/william-barret-travis-alamo-commander
IMPROVE	/authors/a-dell
IMPROVE	/authors/a-hollis
IMPROVE	/authors/a-homes-land
IMPROVE	/authors/a-marisol
KEEP	/barbacoa-big-red-san-antonio
KEEP	/best-places-to-go-camping-in-texas
KEEP	/billy-bobs-texas-history
KEEP	/broken-spoke-austin-history
KEEP	/continental-club-austin-history
KEEP	/county/anderson
KEEP	/county/angelina
KEEP	/county/aransas
KEEP	/county/archer
KEEP	/county/armstrong
KEEP	/county/atascosa
KEEP	/county/bailey
KEEP	/county/bandera
KEEP	/county/bexar
KEEP	/county/blanco
KEEP	/county/briscoe
KEEP	/county/callahan
KEEP	/county/childress
KEEP	/county/clay
KEEP	/county/crane
KEEP	/county/deaf-smith
KEEP	/county/edwards
KEEP	/county/el-paso
KEEP	/county/falls
KEEP	/county/frio
KEEP	/county/gillespie
KEEP	/county/guadalupe
KEEP	/county/hall
KEEP	/county/hill
KEEP	/county/hockley
KEEP	/county/johnson
KEEP	/county/kaufman
KEEP	/county/kent
KEEP	/county/king
KEEP	/county/limestone
KEEP	/county/live-oak
KEEP	/county/medina
KEEP	/county/midland
KEEP	/county/nueces
KEEP	/county/parker
KEEP	/county/parmer
KEEP	/county/pecos
KEEP	/county/real
KEEP	/county/robertson
KEEP	/county/san-augustine
KEEP	/county/sterling
KEEP	/county/swisher
KEEP	/county/tarrant
KEEP	/county/val-verde
KEEP	/county/wichita
KEEP	/county/wilson
KEEP	/county/wood
KEEP	/county/young
KEEP	/destination/acton-state-historic-site
KEEP	/destination/alibates-flint-quarries-national-monument
KEEP	/destination/balmorhea-state-park
KEEP	/destination/barton-springs-pool
KEEP	/destination/bastrop-state-park
KEEP	/destination/bentsen-rio-grande-valley-state-park
KEEP	/destination/big-bend-ranch-state-park
KEEP	/destination/big-spring-state-park
KEEP	/destination/brazos-bend-state-park
KEEP	/destination/buescher-state-park
KEEP	/destination/bullock-texas-state-history-museum
KEEP	/destination/chamizal-national-memorial
KEEP	/destination/copper-breaks-state-park
KEEP	/destination/dallas-arboretum-and-botanical-garden
KEEP	/destination/dinosaur-valley-state-park
KEEP	/destination/fort-davis-national-historic-site
KEEP	/destination/fredericksburg-historic-district
KEEP	/destination/galveston-island-historic-pleasure-pier
KEEP	/destination/galveston-island-state-park
KEEP	/destination/garner-state-park
KEEP	/destination/goose-island-state-park
KEEP	/destination/gruene-historic-district
KEEP	/destination/guadalupe-mountains-national-park
KEEP	/destination/guadalupe-river-state-park
KEEP	/destination/hamilton-pool-preserve
KEEP	/destination/hancock-springs-park
KEEP	/destination/houston-museum-of-natural-science
KEEP	/destination/houston-zoo
KEEP	/destination/inner-space-cavern
KEEP	/destination/jacobs-well-natural-area
KEEP	/destination/kickapoo-cavern-state-park
KEEP	/destination/krause-springs
KEEP	/destination/lady-bird-johnson-wildflower-center
KEEP	/destination/lake-meredith-national-recreation-area
KEEP	/destination/lyndon-b-johnson-national-historical-park
KEEP	/destination/mission-tejas-state-park
KEEP	/destination/monahans-sandhills-state-park
KEEP	/destination/moody-gardens
KEEP	/destination/mother-neff-state-park
KEEP	/destination/national-wasp-wwii-museum-sweetwater
KEEP	/destination/natural-bridge-caverns
KEEP	/destination/new-braunfels
KEEP	/destination/padre-island-national-seashore
KEEP	/destination/palo-alto-battlefield-national-historical-park
KEEP	/destination/palo-duro-canyon-state-park
KEEP	/destination/pedernales-falls-state-park
KEEP	/destination/port-isabel-lighthouse
KEEP	/destination/san-angelo-state-park
KEEP	/destination/san-antonio-river-walk
KEEP	/destination/sea-rim-state-park
KEEP	/destination/silent-wings-museum-lubbock
KEEP	/destination/sixth-floor-museum-at-dealey-plaza
KEEP	/destination/space-center-houston
KEEP	/destination/stephen-f-austin-state-park
KEEP	/destination/texas-military-forces-museum
KEEP	/destination/texas-state-capitol
KEEP	/destination/the-alamo
KEEP	/destination/village-creek-state-park
KEEP	/destination/waco-mammoth-national-monument
IMPROVE	/event/austin-film-festival
IMPROVE	/event/denton-blues-festival
IMPROVE	/event/fort-bend-county-fair-rodeo
IMPROVE	/event/texas-sandfest
IMPROVE	/event/valero-texas-open
IMPROVE	/event/viva-el-paso
IMPROVE	/event/west-texas-fair-rodeo
KEEP	/explore/attractions-comparison
KEEP	/explore/beaches-coast
KEEP	/explore/food-bbq
KEEP	/explore/historic-sites
KEEP	/explore/lakes-rivers
KEEP	/explore/landscapes
KEEP	/explore/landscapes/blackland-prairie
KEEP	/explore/landscapes/canyons
KEEP	/explore/landscapes/cross-timbers
KEEP	/explore/landscapes/deserts
KEEP	/explore/landscapes/edwards-plateau
KEEP	/explore/landscapes/forests
KEEP	/explore/landscapes/gulf-coast
KEEP	/explore/landscapes/hill-country
KEEP	/explore/landscapes/lakes-and-reservoirs
KEEP	/explore/landscapes/permian-basin
KEEP	/explore/landscapes/piney-woods
KEEP	/explore/landscapes/rio-grande-valley
KEEP	/explore/landscapes/rolling-plains
KEEP	/explore/landscapes/texas-geography-explained
KEEP	/explore/landscapes/texas-landscapes-by-region
KEEP	/explore/landscapes/texas-panhandle
KEEP	/explore/landscapes/wetlands-and-marshes
KEEP	/explore/landscapes/what-part-of-texas-looks-like-arizona-colorado-or-the-south
KEEP	/explore/major-springs
KEEP	/explore/national-parks
KEEP	/explore/painted-churches/amarillo-first-baptist-church
KEEP	/explore/painted-churches/bandera-st-stanislaus-catholic-church
KEEP	/explore/painted-churches/census
KEEP	/explore/painted-churches/cite
KEEP	/explore/painted-churches/compare
KEEP	/explore/painted-churches/corn-hill-holy-trinity-catholic-church
IMPROVE	/explore/painted-churches/glossary/cruciform-plan
IMPROVE	/explore/painted-churches/glossary/gothic-revival
IMPROVE	/explore/painted-churches/glossary/sanctuary
IMPROVE	/explore/painted-churches/guides/ammannsville-texas-map
IMPROVE	/explore/painted-churches/guides/dubina-texas-population
IMPROVE	/explore/painted-churches/guides/fayetteville-texas-churches
IMPROVE	/explore/painted-churches/guides/flatonia-texas
IMPROVE	/explore/painted-churches/guides/gothic-revival-painted-churches
IMPROVE	/explore/painted-churches/guides/high-hill-texas-history
IMPROVE	/explore/painted-churches/guides/national-register-painted-churches
