id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-171,"Education, Kids, & Family",15 best Texas colleges and universities ranked by campus life,15 Texas colleges known for active campus life,seo_article,high,evergreen,standard,texas-colleges-known-for-active-campus-life,/guides|/moving-to-texas|/explore,no
td-list-172,"Education, Kids, & Family",10 things every Texas kid learns in 4th-grade Texas history class,10 things every Texas kid learns in 4th-grade Texas history class,social_list,low,evergreen,standard,things-every-texas-kid-learns-in-4th-grade-texas-history-class,/guides|/moving-to-texas|/explore,no
td-list-173,"Education, Kids, & Family",12 fun school field trip destinations in Texas,12 fun school field trip destinations in Texas,seo_article,medium,evergreen,standard,fun-school-field-trip-destinations-in-texas,/guides|/moving-to-texas|/explore,no
td-list-174,"Education, Kids, & Family",15 best children’s museums in Texas,15 Texas children’s museums worth a family trip,seo_article,medium,evergreen,standard,texas-children-s-museums-worth-a-family-trip,/guides|/moving-to-texas|/explore,no
td-list-175,"Education, Kids, & Family",10 traditions unique to Texas high school graduations,10 traditions unique to Texas high school graduations,social_list,low,evergreen,standard,traditions-unique-to-texas-high-school-graduations,/guides|/moving-to-texas|/explore,no
td-list-176,"Education, Kids, & Family",12 classic games Texas kids play outside,12 classic games Texas kids play outside,social_list,low,evergreen,standard,classic-games-texas-kids-play-outside,/guides|/moving-to-texas|/explore,no
td-list-177,"Education, Kids, & Family",15 college majors that are incredibly popular in Texas,15 college majors popular at Texas universities,seo_article,medium,evergreen,standard,college-majors-popular-at-texas-universities,/guides|/moving-to-texas|/explore,no
td-list-178,"Education, Kids, & Family",10 family-friendly campgrounds in Texas,10 family-friendly Texas campgrounds to research,seo_article,high,evergreen,standard,family-friendly-texas-campgrounds-to-research,/guides|/moving-to-texas|/explore,no
td-list-179,"Education, Kids, & Family",12 unique summer camps located in the Texas Hill Country,12 Texas Hill Country summer camps to know,seo_article,high,seasonal,standard,texas-hill-country-summer-camps-to-know,/guides|/moving-to-texas|/explore,no
td-list-180,"Education, Kids, & Family",15 children’s books set in Texas every parent should own,15 children’s books set in Texas to add to a family reading list,seo_article,medium,evergreen,standard,children-s-books-set-in-texas-to-add-to-a-family-reading-list,/guides|/moving-to-texas|/explore,no
td-list-181,"Education, Kids, & Family",10 best zoos and aquariums in Texas,10 Texas zoos and aquariums worth planning a trip around,seo_article,medium,evergreen,standard,texas-zoos-and-aquariums-worth-planning-a-trip-around,/guides|/moving-to-texas|/explore,no
td-list-182,"Education, Kids, & Family",12 things Texas parents do differently than the rest of the US,12 Texas parenting traditions and habits you may notice,social_list,low,evergreen,standard,texas-parenting-traditions-and-habits-you-may-notice,/guides|/moving-to-texas|/explore,no
td-list-183,"Education, Kids, & Family",15 unique high school mascots in Texas,15 unique high school mascots in Texas,seo_article,medium,evergreen,standard,unique-high-school-mascots-in-texas,/guides|/moving-to-texas|/explore,no
td-list-184,"Education, Kids, & Family",10 best school districts in Texas for families,10 Texas school districts families often research,seo_article,medium,annual-review,verify-current,texas-school-districts-families-often-research,/guides|/moving-to-texas|/explore,no
td-list-185,"Education, Kids, & Family",12 ways to teach your kids about Texas conservation,12 ways to teach your kids about Texas conservation,seo_article,medium,evergreen,standard,ways-to-teach-your-kids-about-texas-conservation,/guides|/moving-to-texas|/explore,no
