id,category,source_title,title,content_type,priority,freshness,editorial_risk,slug,internal_links,publish_approved
td-list-001,Identity & Pop Culture,20 signs you know you’re from Texas,20 signs you know you’re from Texas,social_list,medium,evergreen,standard,signs-you-know-you-re-from-texas,/guides|/moving-to-texas|/texas-history,no
td-list-002,Identity & Pop Culture,15 words only Texans know how to pronounce correctly,15 Texas place names and words locals know how to pronounce,seo_article,medium,evergreen,standard,texas-place-names-and-words-locals-know-how-to-pronounce,/guides|/moving-to-texas|/texas-history,no
td-list-003,Identity & Pop Culture,10 unwritten rules of driving on Texas highways,10 unwritten rules of driving on Texas highways,seo_article,medium,evergreen,standard,unwritten-rules-of-driving-on-texas-highways,/article/texas-farm-to-market-roads-explained|/guides|/moving-to-texas|/texas-history,no
td-list-004,Identity & Pop Culture,12 things that shock first-time visitors to Texas,12 things that shock first-time visitors to Texas,seo_article,medium,evergreen,standard,things-that-shock-first-time-visitors-to-texas,/guides|/moving-to-texas|/texas-history,no
td-list-005,Identity & Pop Culture,20 classic country songs that mention Texas cities,20 classic country songs that mention Texas cities,seo_article,medium,evergreen,standard,classic-country-songs-that-mention-texas-cities,/guides|/moving-to-texas|/texas-history,no
td-list-006,Identity & Pop Culture,15 fictional movie characters who perfectly embody Texas,15 fictional characters that capture different sides of Texas,social_list,low,evergreen,standard,fictional-characters-that-capture-different-sides-of-texas,/guides|/moving-to-texas|/texas-history,no
td-list-007,Identity & Pop Culture,10 stereotypes about Texans that are actually 100% true,10 Texas stereotypes that have a grain of truth,social_list,low,evergreen,standard,texas-stereotypes-that-have-a-grain-of-truth,/guides|/moving-to-texas|/texas-history,no
td-list-008,Identity & Pop Culture,10 stereotypes about Texans that are completely false,10 Texas stereotypes that don’t hold up,social_list,low,evergreen,standard,texas-stereotypes-that-don-t-hold-up,/guides|/moving-to-texas|/texas-history,no
td-list-009,Identity & Pop Culture,15 things you’ll find in every single Texas grandma’s house,15 things you might find in a Texas grandma’s house,social_list,low,evergreen,standard,things-you-might-find-in-a-texas-grandma-s-house,/guides|/moving-to-texas|/texas-history,no
td-list-010,Identity & Pop Culture,12 signs you’ve officially gone native after moving to Texas,12 signs you’ve officially gone native after moving to Texas,social_list,medium,evergreen,standard,signs-you-ve-officially-gone-native-after-moving-to-texas,/guides|/moving-to-texas|/texas-history,no
td-list-011,Identity & Pop Culture,20 Texas memes that are painfully accurate,20 Texas memes that are painfully accurate,social_list,low,evergreen,standard,texas-memes-that-are-painfully-accurate,/guides|/moving-to-texas|/texas-history,no
td-list-012,Identity & Pop Culture,10 reasons why Texas pride is unlike any other state,10 reasons Texas pride feels different from other states,social_list,low,evergreen,standard,reasons-texas-pride-feels-different-from-other-states,/guides|/moving-to-texas|/texas-history,no
td-list-013,Identity & Pop Culture,15 fashion staples you’ll see at a Texas country wedding,15 fashion staples you’ll see at a Texas country wedding,social_list,low,evergreen,standard,fashion-staples-you-ll-see-at-a-texas-country-wedding,/guides|/moving-to-texas|/texas-history,no
td-list-014,Identity & Pop Culture,12 things that happen when it snows even one inch in Texas,12 things that happen when it snows even one inch in Texas,social_list,medium,evergreen,standard,things-that-happen-when-it-snows-even-one-inch-in-texas,/guides|/moving-to-texas|/texas-history,no
td-list-015,Identity & Pop Culture,10 unspoken rules of Texas high school football culture,10 unspoken rules of Texas high school football culture,seo_article,medium,evergreen,standard,unspoken-rules-of-texas-high-school-football-culture,/guides|/moving-to-texas|/texas-history,no
td-list-016,Identity & Pop Culture,15 signs you are a Texan living out of state,15 signs you are a Texan living out of state,social_list,low,evergreen,standard,signs-you-are-a-texan-living-out-of-state,/guides|/moving-to-texas|/texas-history,no
td-list-017,Identity & Pop Culture,10 things Texans missed most when traveling abroad,10 things Texans miss most when traveling abroad,social_list,low,evergreen,standard,things-texans-miss-most-when-traveling-abroad,/article/texas-farm-to-market-roads-explained|/guides|/moving-to-texas|/texas-history,no
td-list-018,Identity & Pop Culture,15 iconic Texas hand gestures and slang phrases,15 iconic Texas hand gestures and slang phrases,seo_article,medium,evergreen,standard,iconic-texas-hand-gestures-and-slang-phrases,/guides|/moving-to-texas|/texas-history,no
td-list-019,Identity & Pop Culture,12 ways to instantly offend a Texan,12 faux pas that can annoy Texans,social_list,low,evergreen,standard,faux-pas-that-can-annoy-texans,/guides|/moving-to-texas|/texas-history,no
td-list-020,Identity & Pop Culture,20 things every Texan has said at least once in their life,20 things Texans say all the time,social_list,low,evergreen,standard,things-texans-say-all-the-time,/guides|/moving-to-texas|/texas-history,no
td-list-021,Identity & Pop Culture,10 things you only see at a Texas tailgate party,10 things you’ll see at a Texas tailgate party,social_list,low,evergreen,standard,things-you-ll-see-at-a-texas-tailgate-party,/guides|/moving-to-texas|/texas-history,no
td-list-022,Identity & Pop Culture,15 traits of a true Texas gentleman,15 old-school traits associated with a Texas gentleman,social_list,low,evergreen,standard,old-school-traits-associated-with-a-texas-gentleman,/guides|/moving-to-texas|/texas-history,no
td-list-023,Identity & Pop Culture,15 traits of a true Texas steel magnolia,15 traits behind the classic Texas steel magnolia archetype,social_list,low,evergreen,standard,traits-behind-the-classic-texas-steel-magnolia-archetype,/guides|/moving-to-texas|/texas-history,no
td-list-024,Identity & Pop Culture,10 ways Texas culture changes from East to West,10 ways Texas culture changes from East to West,seo_article,medium,evergreen,standard,ways-texas-culture-changes-from-east-to-west,/guides|/moving-to-texas|/texas-history,no
td-list-025,Identity & Pop Culture,12 times Texas pop culture dominated the internet,12 times Texas pop culture dominated the internet,social_list,low,evergreen,standard,times-texas-pop-culture-dominated-the-internet,/guides|/moving-to-texas|/texas-history,no
