id,source_number,part,part_title,source_page,source_title,source_summary,working_slug,content_type,priority,freshness,editorial_risk,verification_status,publish_approved
td-story-151,151,4,"Science, Space & Big Industry",8,"'Houston, We Have a Problem'",Mission Control at Johnson Space Center brought Apollo 13 safely back from the brink of disaster.,houston-we-have-a-problem,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-152,152,4,"Science, Space & Big Industry",8,The Apollo 11 Moon Landing Coordination,'Houston' guided Neil Armstrong and Buzz Aldrin onto the lunar surface in 1969.,the-apollo-11-moon-landing-coordination,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-153,153,4,"Science, Space & Big Industry",8,The McDonald Observatory Stargazing,"Perched high on Mount Locke in the Davis Mountains, astronomers peered into deep nebulae.",the-mcdonald-observatory-stargazing,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-154,154,4,"Science, Space & Big Industry",8,The Texas Instruments Microchip Invention,"Jack Kilby invented the integrated circuit in Dallas in 1958, launching the digital age.",the-texas-instruments-microchip-invention,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-155,155,4,"Science, Space & Big Industry",8,The Galveston Seawall Engineering,"After the devastating 1900 storm, engineers raised an entire city on hydraulic sand pumps behind a giant wall.",the-galveston-seawall-engineering,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-156,156,4,"Science, Space & Big Industry",8,The Deepwater Horizon / Houston Maritime Hub,The nerve center of global offshore engineering operated from quiet suburban corporate parks.,the-deepwater-horizon-houston-maritime-hub,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-157,157,4,"Science, Space & Big Industry",8,The El Paso Asarco Chimney Demolition,"A towering 612-foot copper smelter stack came crashing down in 2013, changing the border skyline.",the-el-paso-asarco-chimney-demolition,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-158,158,4,"Science, Space & Big Industry",8,The Santa Rita No. 1 Oil Well,"Discovered on University of Texas land in the Permian Basin, funding higher education with dark gold.",the-santa-rita-no-1-oil-well,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-159,159,4,"Science, Space & Big Industry",8,The King Ranch Experimental Grasslands,Scientists and ranchers tested drought-resistant turf and cattle breeding.,the-king-ranch-experimental-grasslands,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-160,160,4,"Science, Space & Big Industry",8,The NASA Saturn V Rocket Park,A massive rocket rested in the open air outside Houston as a monument to human engineering.,the-nasa-saturn-v-rocket-park,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-161,161,4,"Science, Space & Big Industry",8,The Fort Worth Bomber Plant (Air Force Plant 4),Workers built B-24 Liberators during WWII under camouflaged rooftop nursery plants.,the-fort-worth-bomber-plant-air-force-plant-4,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-162,162,4,"Science, Space & Big Industry",8,The Longview to Pennsylvania Big Inch Pipeline,Built during WWII to pump crude oil safely away from German submarine threats.,the-longview-to-pennsylvania-big-inch-pipeline,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-163,163,4,"Science, Space & Big Industry",8,The Dallas-Fort Worth International Airport Opening,Opened in 1974 as a massive airfield designed to replace the world's travel expectations.,the-dallas-fort-worth-international-airport-opening,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-164,164,4,"Science, Space & Big Industry",8,The Port of Houston Shipping Lanes,"Turning a winding, narrow bayou into a bustling gateway for international container ships.",the-port-of-houston-shipping-lanes,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-165,165,4,"Science, Space & Big Industry",8,The San Antonio Medical Center Growth,A scrubby stretch of North Bexar County blossomed into a world-class healing and research district.,the-san-antonio-medical-center-growth,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-166,166,4,"Science, Space & Big Industry",8,The Amarillo Helium Plant,The federal government hoarded lighter-than-air gas in underground Panhandle rock domes.,the-amarillo-helium-plant,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-167,167,4,"Science, Space & Big Industry",8,The Bryan / Texas A&M; Research Park,"Testing drones, robotics, and agricultural breakthroughs in the open Brazos Valley.",the-bryan-texas-a-and-m-research-park,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-168,168,4,"Science, Space & Big Industry",8,The Midland International Air & Space Port,An old WWII bomber training field certified as a commercial spaceport for reusable rockets.,the-midland-international-air-and-space-port,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-169,169,4,"Science, Space & Big Industry",8,The Port Arthur Oil Refineries,Towers of steel and flickering flare stacks processed crude along the Gulf Coast marshes.,the-port-arthur-oil-refineries,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-170,170,4,"Science, Space & Big Industry",9,The Corpus Christi Harbor Bridge,A sweeping steel arch welcoming ships into the deepwater port.,the-corpus-christi-harbor-bridge,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-171,171,4,"Science, Space & Big Industry",9,The Victoria Barge Canal,Connecting inland manufacturing directly to the Gulf intracoastal waterway.,the-victoria-barge-canal,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-172,172,4,"Science, Space & Big Industry",9,The Temple Railroad Hub Growth,A central depot town that bloomed into a major medical and distribution nexus.,the-temple-railroad-hub-growth,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-173,173,4,"Science, Space & Big Industry",9,The Tyler Rose-Growing Industry,Shipping millions of rose bushes across the world from the rich sandy soil of Smith County.,the-tyler-rose-growing-industry,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-174,174,4,"Science, Space & Big Industry",9,The Waco Suspension Bridge,Built across the Brazos River in 1870 to let cattle drives cross safely without sinking in mud.,the-waco-suspension-bridge,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-175,175,4,"Science, Space & Big Industry",9,The San Angelo Weather Modification (Cloud Seeding),Pilots flew into West Texas thunderstorms trying to squeeze rain out of dry clouds.,the-san-angelo-weather-modification-cloud-seeding,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-176,176,4,"Science, Space & Big Industry",9,The Abilene Wind Energy Fields,Giant white turbine blades spun across the rolling mesquite plains.,the-abilene-wind-energy-fields,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-177,177,4,"Science, Space & Big Industry",9,The Sonora Caverns Crystal Formations,"Explorers mapped delicate, rare helictite cave formations hidden beneath the Edwards Plateau.",the-sonora-caverns-crystal-formations,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-178,178,4,"Science, Space & Big Industry",9,The Big Spring Asphalt Pits,Early road builders scooped natural sticky tar right off the surface of the ground.,the-big-spring-asphalt-pits,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-179,179,4,"Science, Space & Big Industry",9,The Lufkin Industries Sawmill Pumps,Manufacturing heavy oilfield pumping units in the quiet piney woods.,the-lufkin-industries-sawmill-pumps,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-180,180,4,"Science, Space & Big Industry",9,The Orange County Shipyards,Building wartime cargo vessels along the winding Sabine River banks.,the-orange-county-shipyards,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
td-story-181,181,4,"Science, Space & Big Industry",9,The Freeport Chemical Complex,Turning coastal salt domes into essential materials for the modern chemical industry.,the-freeport-chemical-complex,story_candidate,pending-review,evergreen,source-claim-needs-verification,needs-research,no
